"Have.you.ever.celebrated.Halloween.","Which.of.the.following.costumes.did.you.dress.up.as.for.Halloween.when.you.were.a.child...Angel.","Which.of.the.following.costumes.did.you.dress.up.as.for.Halloween.when.you.were.a.child...Athlete.","Which.of.the.following.costumes.did.you.dress.up.as.for.Halloween.when.you.were.a.child...Bat.","Which.of.the.following.costumes.did.you.dress.up.as.for.Halloween.when.you.were.a.child...Cat.","Which.of.the.following.costumes.did.you.dress.up.as.for.Halloween.when.you.were.a.child...Character.from.a.movie.","Which.of.the.following.costumes.did.you.dress.up.as.for.Halloween.when.you.were.a.child...Character.from.a.TV.show.","Which.of.the.following.costumes.did.you.dress.up.as.for.Halloween.when.you.were.a.child...Clown.","Which.of.the.following.costumes.did.you.dress.up.as.for.Halloween.when.you.were.a.child...Devil.","Which.of.the.following.costumes.did.you.dress.up.as.for.Halloween.when.you.were.a.child...Doll.","Which.of.the.following.costumes.did.you.dress.up.as.for.Halloween.when.you.were.a.child...Dinosaur.","Which.of.the.following.costumes.did.you.dress.up.as.for.Halloween.when.you.were.a.child...Ghost.","Which.of.the.following.costumes.did.you.dress.up.as.for.Halloween.when.you.were.a.child...Fairy.","Which.of.the.following.costumes.did.you.dress.up.as.for.Halloween.when.you.were.a.child...Food.","Which.of.the.following.costumes.did.you.dress.up.as.for.Halloween.when.you.were.a.child...Frankenstein.","Which.of.the.following.costumes.did.you.dress.up.as.for.Halloween.when.you.were.a.child...Mermaid.merman..","Which.of.the.following.costumes.did.you.dress.up.as.for.Halloween.when.you.were.a.child...Mouse.","Which.of.the.following.costumes.did.you.dress.up.as.for.Halloween.when.you.were.a.child...Mummy.","Which.of.the.following.costumes.did.you.dress.up.as.for.Halloween.when.you.were.a.child...Musician.Actor.Artist.","Which.of.the.following.costumes.did.you.dress.up.as.for.Halloween.when.you.were.a.child...Ninja.","Which.of.the.following.costumes.did.you.dress.up.as.for.Halloween.when.you.were.a.child...A.pun.based.costume.","Which.of.the.following.costumes.did.you.dress.up.as.for.Halloween.when.you.were.a.child...Pirate.","Which.of.the.following.costumes.did.you.dress.up.as.for.Halloween.when.you.were.a.child...Police.Officer.","Which.of.the.following.costumes.did.you.dress.up.as.for.Halloween.when.you.were.a.child...Politician.","Which.of.the.following.costumes.did.you.dress.up.as.for.Halloween.when.you.were.a.child...Prince.Princess.","Which.of.the.following.costumes.did.you.dress.up.as.for.Halloween.when.you.were.a.child...Pumpkin.","Which.of.the.following.costumes.did.you.dress.up.as.for.Halloween.when.you.were.a.child...Skeleton.","Which.of.the.following.costumes.did.you.dress.up.as.for.Halloween.when.you.were.a.child...Superhero.","Which.of.the.following.costumes.did.you.dress.up.as.for.Halloween.when.you.were.a.child...Supervillain.","Which.of.the.following.costumes.did.you.dress.up.as.for.Halloween.when.you.were.a.child...Vampire.","Which.of.the.following.costumes.did.you.dress.up.as.for.Halloween.when.you.were.a.child...Witch..not.from.movie.TV.show..","Which.of.the.following.costumes.did.you.dress.up.as.for.Halloween.when.you.were.a.child...Wizard..not.from.movie.TV.show..or.Washington.Wizards..","Which.of.the.following.costumes.did.you.dress.up.as.for.Halloween.when.you.were.a.child...Zombie.","Which.of.the.following.costumes.did.you.dress.up.as.for.Halloween.when.you.were.a.child...Other.monster.not.listed.","Which.of.the.following.costumes.did.you.dress.up.as.for.Halloween.when.you.were.a.child...Other.animal.not.listed.","Which.of.the.following.costumes.did.you.dress.up.as.for.Halloween.when.you.were.a.child...Something.else.not.listed.","Did.you.ever.go.to.haunted.houses...","Did.you.ever.go.trick.or.treating.","Why.didn.t.you.go.trick.or.treating.","Do.you.wish.you.had.gone.trick.or.treating.","How.old.were.you.when.you.started.going.trick.or.treating.","How.old.were.you.during.your.last.year.of.going.trick.or.treating.","Do.you.still.go.trick.or.treating.for.yourself.or.with.friends.","What.was.your.favorite.candy.","What.was.your.least.favorite.candy.","Why.didn.t.you.celebrate.Halloween.as.a.kid.","Each.year..do.you.usually.attend.a.Halloween.party.","Describe.Halloween.in.three.words","What.is.your.gender.","What.is.your.race.","Are.you.Hispanic.and.or.Latino.a","What.is.your.age.group.","As.a.child..was.your.birthday.between.the.start..of.school.and.Halloween..or.after.Halloween.","Which.region.of.the.US.do.you.live.in.","Do.you.still.go.trick.or.treating.for.yourself.with.friends."
"Yes","","When you were 9 or younger","","When you were 9 or younger","When you were 10 to 17","","","","","","","","","","","","","","","","","","","When you were 9 or younger","","","","","When you were 9 or younger","","","","","","When you were 9 or younger","as a younger child (9 and under);as an older child (10-17)","Yes","","","6-12","12","No","Reese's","Tootsie rolls","","Sometimes","Fun spooky exciting","Female","White","No","18-24","After Halloween","Southwest",NA
"Yes","","","","When you were 9 or younger","When you were 10 to 17","","","","","","When you were 9 or younger;When you were 10 to 17","","When you were 10 to 17","","","","","","","","","","","When you were 9 or younger","","When you were 10 to 17","","","When you were 10 to 17","When you were 10 to 17","","","","","When you were 10 to 17","as an adult (18+)","Yes","","","1-2","14",NA,"Anythinh chocolate","Those orange and black paper wrapped candiee ","","Always/almost always","My everyday life","Female","White","No","35-44","After Halloween","Southeast","No"
"Yes","","","","","","","","","","","When you were 9 or younger","","","","","","","","","","","","","","","","","","","When you were 9 or younger;When you were 10 to 17","","","","","When you were 9 or younger;When you were 10 to 17","as an older child (10-17)","Yes","","","4-6","14","No","Cookies and cream Hershey's bar","Tootsie rolls","","Rarely","Scary candy pumpkin","Female","White","No","Under 18","After Halloween","Northeast",NA
"Yes","","","","","","","When you were 9 or younger;When you were 10 to 17","When you were 10 to 17","","When you were 9 or younger","When you were 9 or younger;When you were 10 to 17","","","","","","","","","When you were 10 to 17","","","","","","","","","","","","","","","","as an older child (10-17);as an adult (18+)","Yes","","","6","25",NA,"Cinnomon disc","Candy corn","","Rarely","Fun scary yummie","Male","White","No","35-44","Between start of school and Halloween","Southeast","Yes"
"Yes","","","","One of these ranges, but I forget","One of these ranges, but I forget","When you were 9 or younger;When you were 10 to 17;As an adult","","","","","","One of these ranges, but I forget","","","","","","As an adult","","One of these ranges, but I forget","","","","","","As an adult","","","","","","","","","One of these ranges, but I forget","as an older child (10-17)","Yes","","","4","19","","Kit Kat","Tootsie Roll","","Never","spooky scary skeletons","Male","White","No","25-34","Prefer not to answer/I don't know","Southeast",NA
"Yes","","","","When you were 9 or younger","","","","As an adult","","","","When you were 10 to 17","","","","","","","","","","","","When you were 9 or younger","","When you were 10 to 17","","","","","","","As an adult","","As an adult","as an adult (18+)","Yes","","","5","13",NA,"Milky Way ","Licorice ","","Sometimes","mystical - magic-joy","Female","White","No","55+","After Halloween","Midwest","No"
"Yes","When you were 9 or younger","","","When you were 9 or younger","When you were 10 to 17","When you were 10 to 17","","","","","When you were 9 or younger","","","","","","","","","","","","","","","","When you were 10 to 17","","","","","","","","","","Yes","","","4-6","18","No","Tootsie Roll","Toffee","","Never","spooky fun adventure","Male","White","No","18-24","Between start of school and Halloween","Southwest",NA
"Yes","","","","","","As an adult","","","","When you were 9 or younger","","","","When you were 10 to 17","","When you were 9 or younger","","As an adult","","","","","","","","","","","","","","","","","When you were 10 to 17;As an adult","as an adult (18+)","Yes","","","8-10","12","No","Reese's","Bit O' Honey","","Rarely","Nostalgic anxiety cold","Male","White","No","25-34","Prefer not to answer/I don't know","Midwest",NA
"Yes","","When you were 9 or younger;When you were 10 to 17","","","When you were 9 or younger;When you were 10 to 17;As an adult","When you were 9 or younger;When you were 10 to 17;As an adult","When you were 9 or younger","","When you were 9 or younger","","","","","","","","","","","","","","","When you were 9 or younger","","","When you were 9 or younger","","","","","","","","As an adult","as a younger child (9 and under);as an older child (10-17);as an adult (18+)","Yes","","","2-5","11-13","No","3 Musketeers","suckers","","Sometimes","Costumes Scary Pumpkins","Female","White","No","35-44","After Halloween","West",NA
"Yes","","","","","","","","When you were 10 to 17","As an adult","","When you were 10 to 17","","When you were 9 or younger","","","","","","","When you were 10 to 17","","","","","","","","","","When you were 10 to 17","","","","As an adult","","","Yes","","","5-9","14","No","Almond joy","jolly rancher","","Sometimes","spoooooky fun costumery","Other","White","No","18-24","After Halloween","Southwest",NA
"Yes","","","When you were 9 or younger","","When you were 10 to 17","When you were 10 to 17","","When you were 10 to 17","","","When you were 10 to 17","","","","","","","When you were 9 or younger","When you were 9 or younger","","","","","","","When you were 10 to 17","","","","When you were 9 or younger","","","","","","as a younger child (9 and under)","Yes","","","4-6","13","No","Skittlez","Anything with peanuts or coconut in it.","","Sometimes","Silly nostolgic funny","Female","White","No","Under 18","Between start of school and Halloween","Midwest",NA
"Yes","","","","When you were 10 to 17","","","","When you were 10 to 17","When you were 10 to 17","","","","","","","","","","","","","","","When you were 9 or younger","","","","","When you were 9 or younger","When you were 9 or younger","","As an adult","","","","as an adult (18+)","Yes","","","5","12",NA,"nerds","chikastick","","Always/almost always","the best holiday","Female","White","No","35-44","After Halloween","Midwest","No"
"Yes","","When you were 10 to 17","","When you were 9 or younger;When you were 10 to 17","When you were 10 to 17","When you were 10 to 17","When you were 9 or younger;When you were 10 to 17","","When you were 10 to 17","","When you were 9 or younger;When you were 10 to 17","When you were 9 or younger","","","","","When you were 10 to 17","When you were 10 to 17","","","","","","When you were 9 or younger","","","","","When you were 10 to 17","When you were 10 to 17","","When you were 10 to 17","","When you were 9 or younger","When you were 9 or younger;When you were 10 to 17","as an older child (10-17);as an adult (18+)","Yes","","","1-2","18",NA,"Milk Duds","Dots","","Sometimes","Pumpkin spooky haunted","Female","White","No","55+","After Halloween","Midwest","No"
"Yes","","","","","","","When you were 9 or younger","","","","","","","","","","","","","","","","","","","When you were 9 or younger","","","","","","","","","","as an older child (10-17)","Yes","","","4","12",NA,"Reeses","Smarties","","Never","Spooky fall pumpkin","Female","White","No","55+","After Halloween","Midwest","No"
"Yes","","","","When you were 10 to 17","When you were 9 or younger","","When you were 9 or younger","When you were 9 or younger;When you were 10 to 17","","","When you were 9 or younger","","","","","","","","","","When you were 10 to 17","","","","","","","","When you were 9 or younger;When you were 10 to 17","","","","","","When you were 10 to 17","as an adult (18+)","Yes","","","5","23",NA,"Snickers","Tootsie roll pop","","Sometimes","Lifestyle love spooky","Female","White","Yes","25-34","After Halloween","West","Yes"
"Yes","As an adult","","","When you were 9 or younger;When you were 10 to 17;As an adult","","","","","","When you were 9 or younger","","As an adult","","","","","","","","","When you were 10 to 17","As an adult","","","","As an adult","","","One of these ranges, but I forget","As an adult","","When you were 10 to 17","One of these ranges, but I forget","","One of these ranges, but I forget","as an older child (10-17)","Yes","","","2-4","15","No","Reece's","Caramel","","Always/almost always","Fun Kinky Silly","Female","White","No","25-34","After Halloween","Southeast",NA
"Yes","","","","","When you were 10 to 17;As an adult","","","","","","One of these ranges, but I forget","","When you were 10 to 17;As an adult","","","","","","When you were 9 or younger","","","One of these ranges, but I forget","","","","","","","","","","","","","As an adult","as an older child (10-17);as an adult (18+)","Yes","","","6-8","16",NA,"Reese's cups","Tootsie Rolls","","Rarely","spooky scary candy","Male","Asian","No","25-34","After Halloween","Midwest","No"
"Yes","","","","","When you were 9 or younger;When you were 10 to 17;As an adult","","","","","","When you were 9 or younger;When you were 10 to 17;As an adult","","","","","","","","","","","","As an adult","When you were 9 or younger;When you were 10 to 17","","","","As an adult","","","","","","","","as a younger child (9 and under);as an older child (10-17);as an adult (18+)","Yes","","","5","20","No","Reeses","Oranges","","Always/almost always","Fun Cool Happy","Male","White","Yes","25-34","Between start of school and Halloween","West",NA
"Yes","When you were 9 or younger","","When you were 9 or younger","","When you were 10 to 17;As an adult","","","","","","","","","","","","","","","","","","","When you were 9 or younger","","","","","","","","","","","","as an adult (18+)","Yes","","","6-7","16-17","No","Tootsie Rolls","Jolly Ranchers","","Never","Cold Spooky Frantic","Female","White","No","18-24","After Halloween","Southwest",NA
"Yes","","","","When you were 10 to 17;As an adult","One of these ranges, but I forget","","","As an adult","When you were 9 or younger","","","","","","","One of these ranges, but I forget","","As an adult","","","","","","","","","","","","When you were 9 or younger;When you were 10 to 17","","When you were 9 or younger;When you were 10 to 17","","When you were 9 or younger;When you were 10 to 17;As an adult","When you were 9 or younger;When you were 10 to 17;As an adult","as a younger child (9 and under);as an older child (10-17)","Yes","","","4-5","8","No","lollipops","anything with nuts","","Rarely","spooky creepy fun","Female","Black/African American;White","No","25-34","After Halloween","I do not live in the United States",NA
"Yes","","","","","","","","As an adult","","","","","","","","","","","As an adult","","","","","","","","When you were 9 or younger","","","","","","","","As an adult","as a younger child (9 and under)","Yes","","","3-4","15","No","Peanut butter cups","Toffee","","Rarely","Spooky Costumes Corny","Male","White","No","25-34","Between start of school and Halloween","Southeast",NA
"Yes","","","","When you were 9 or younger","When you were 10 to 17;As an adult","When you were 10 to 17;As an adult","","","When you were 9 or younger","","When you were 10 to 17;As an adult","","","","","When you were 9 or younger","","","When you were 10 to 17","","","","","When you were 9 or younger","","","","","","When you were 9 or younger","","When you were 10 to 17","","","When you were 9 or younger;As an adult","as a younger child (9 and under);as an older child (10-17);as an adult (18+)","Yes","","","2-4","17-18","No","Kit kat","Milk duds","","Sometimes","Fun Scary Drunk","Female","White","No","18-24","Between start of school and Halloween","Southeast",NA
"Yes","","When you were 10 to 17","","When you were 9 or younger","When you were 10 to 17","When you were 10 to 17","","When you were 10 to 17","","","When you were 10 to 17","","","","","","When you were 10 to 17","When you were 10 to 17","","","","","","","When you were 9 or younger","When you were 10 to 17","When you were 9 or younger","","","","","","","","","as an adult (18+)","Yes","","","7","14",NA,"Snickers bars","Candy corn","","Always/almost always","Magic mystery mayhem","Male","White","No","35-44","After Halloween","West","No"
"Yes","","","","","","","","","","","","When you were 10 to 17","","","","","","","When you were 9 or younger","","","","","","","","","","","","","","","","When you were 10 to 17","as a younger child (9 and under);as an older child (10-17);as an adult (18+)","Yes","","","5","12",NA,"Reese's","Tootsie Rolls","","Always/almost always","Camaraderie Laughter Candy","Male","Black/African American;White;Other","Yes","25-34","After Halloween","West","No"
"Yes","","","","","","","","","","","","","","","","","","","","As an adult","","","When you were 10 to 17","","When you were 9 or younger","As an adult","","","When you were 9 or younger","","When you were 9 or younger","When you were 10 to 17","","","","as an older child (10-17)","Yes","","","5","15",NA,"Reeses","Almond Joy","","Always/almost always","spooky scary skeletons","Female","White","No","18-24","After Halloween","Midwest",""
"Yes","","","","","When you were 9 or younger;As an adult","","","","","","When you were 10 to 17","","","","","","","","","When you were 9 or younger;When you were 10 to 17","","","When you were 9 or younger","","","","When you were 9 or younger","When you were 9 or younger","","","","","","","When you were 9 or younger;When you were 10 to 17","as an older child (10-17)","Yes","","","4-6","15","No","Aero Bars","Lifesavers","","Sometimes","Spooky Scary Skeletons","Male","White","No","18-24","Between start of school and Halloween","Midwest",NA
"Yes","","When you were 9 or younger","","","","","","","","","","","","","","","","","","","When you were 10 to 17","","","","","","When you were 9 or younger","","","","When you were 9 or younger;When you were 10 to 17","","","","","as an older child (10-17)","Yes","","","3","12",NA,"Twix","jelly beans","","Never","autumn annoying drunkards","Male","White","No","25-34","After Halloween","Midwest",""
"Yes","When you were 9 or younger","","","When you were 9 or younger","","","","","","","When you were 10 to 17","When you were 9 or younger","","","","","","","","When you were 10 to 17","","","","When you were 9 or younger","","","","","","","","","When you were 10 to 17","","","as a younger child (9 and under)","Yes","","","5-6","14","No","Skittles","Anything that had chocolate","","Never","Tiring unnecessary interesting","Female","White","No","Under 18","After Halloween","Northeast",NA
"Yes","","","","When you were 10 to 17","When you were 9 or younger","","","","","","","","","","","","","","","","","","","When you were 9 or younger","","","","","When you were 9 or younger","When you were 10 to 17","","","","","When you were 9 or younger;When you were 10 to 17","as a younger child (9 and under);as an older child (10-17)","Yes","","","5","17","No","Reese's cups","Gummies","","Rarely","Fun childish spooky","Female","White","No","18-24","After Halloween","Midwest",NA
"Yes","","","","When you were 9 or younger","When you were 9 or younger;When you were 10 to 17","When you were 10 to 17","","","","","","When you were 9 or younger","","","","","One of these ranges, but I forget","","","","One of these ranges, but I forget","","","","","When you were 10 to 17","","","","When you were 10 to 17","","","","When you were 9 or younger","","as an older child (10-17)","Yes","","","3","17","No","The sugar-based ones, also butterfingers","Some of those weird chocolate bars, like ruby Tuesdays or whatever ","","Rarely","Fun Spooky candy","Female","White","No","18-24","Between start of school and Halloween","Northeast",NA
"Yes","When you were 9 or younger","One of these ranges, but I forget","One of these ranges, but I forget","When you were 9 or younger","When you were 10 to 17","One of these ranges, but I forget","When you were 9 or younger","One of these ranges, but I forget","One of these ranges, but I forget","One of these ranges, but I forget","When you were 9 or younger","When you were 9 or younger","One of these ranges, but I forget","One of these ranges, but I forget","When you were 10 to 17","When you were 9 or younger","When you were 10 to 17","One of these ranges, but I forget","One of these ranges, but I forget","One of these ranges, but I forget","One of these ranges, but I forget","One of these ranges, but I forget","One of these ranges, but I forget","When you were 9 or younger","One of these ranges, but I forget","One of these ranges, but I forget","When you were 10 to 17","","One of these ranges, but I forget","One of these ranges, but I forget","As an adult","As an adult","As an adult","As an adult","One of these ranges, but I forget","as a younger child (9 and under);as an older child (10-17);as an adult (18+)","Yes","","","2","14",NA,"Reese's ","Mints","","Always/almost always","Spooky fun exciting","Female","White","No","35-44","After Halloween","Northeast","Yes"
"No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Religious reasons;Didn't want to","Never","Costumes Carnal Partying","Female","White","No","18-24","Prefer not to answer/I don't know","West",NA
"Yes","","","","When you were 10 to 17","When you were 9 or younger","When you were 9 or younger","","","","","","","","","","","","","","","","","","","","","","","","","","","","","When you were 9 or younger","as an older child (10-17);as an adult (18+)","Yes","","","5-12","12",NA,"Snickers ","Dots","","Never","Fun exciting scary","Female","White","Yes","35-44","After Halloween","West","Yes"
"Yes","","","","","When you were 9 or younger;When you were 10 to 17","One of these ranges, but I forget","","","","","","","","","","","","","","As an adult","","","","","","","","","","","","","","","As an adult","","Yes","","","4-6","16",NA,"three musketeers","banana laffy taffy","","Always/almost always","fun bizarre overrated","Male","White","No","25-34","After Halloween","Midwest",""
"Yes","","","","When you were 10 to 17","When you were 9 or younger","","","","","","","","When you were 10 to 17","","When you were 10 to 17","","","","","","When you were 9 or younger","","","","","","","","","","","","","","","as a younger child (9 and under);as an older child (10-17)","Yes","","","3","17","No","Mr. Goodbar","Whopper","","Sometimes","Fun spooky candy","Female","White","No","18-24","After Halloween","Southeast",NA
"Yes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","When you were 9 or younger","","","","","","","as an adult (18+)","Yes","","","11","46",NA,"Candy bars","Black candy ","","Always/almost always","Fantastically horrible gory","Female","Black/African American","No","45-54","After Halloween","Northeast","Yes"
"Yes","When you were 9 or younger","","","","","","When you were 9 or younger","","","","","","","","","","","","","","","","","","When you were 9 or younger","","","","","When you were 9 or younger","","","","","When you were 9 or younger","","Yes","","","4-7","13-15","No","Nutrageous","Milky Way","","Always/almost always","Fun costume candy","Female","White","No","35-44","After Halloween","Midwest",NA
"Yes","","When you were 9 or younger;When you were 10 to 17","","","When you were 9 or younger;When you were 10 to 17","","","When you were 10 to 17","","","When you were 9 or younger;When you were 10 to 17","","","","","","","","","","","","","","","When you were 9 or younger;When you were 10 to 17","","","","","","","When you were 9 or younger;When you were 10 to 17","","","as a younger child (9 and under);as an older child (10-17);as an adult (18+)","Yes","","","6","20",NA,"Butterfingers ","Candy corn ","","Sometimes","Spooky creepy fun","Male","White","No","35-44","Between start of school and Halloween","West","Yes"
"Yes","","When you were 9 or younger","","","One of these ranges, but I forget","","","When you were 10 to 17","","One of these ranges, but I forget","One of these ranges, but I forget","","","","","","","","One of these ranges, but I forget","When you were 10 to 17;As an adult","","One of these ranges, but I forget","","","","One of these ranges, but I forget","One of these ranges, but I forget","One of these ranges, but I forget","","","","One of these ranges, but I forget","","","When you were 10 to 17","as an older child (10-17);as an adult (18+)","Yes","","","8","15-17","","Crunch","Almond Joy","","Sometimes","Spoopy Scary Skeleton","Male","White","No","18-24","Between start of school and Halloween","Southeast",NA
"Yes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","When you were 9 or younger","","Yes","","","8","12","No","Milky way ","Tootsie roll ","","Sometimes","Pumpkin candy fun","Female","White","No","18-24","After Halloween","Southeast",NA
"Yes","","","","","When you were 9 or younger;When you were 10 to 17;As an adult","When you were 10 to 17","","","","","","When you were 10 to 17","","","","","","","","","","","","When you were 9 or younger;When you were 10 to 17","When you were 9 or younger","","When you were 10 to 17","","When you were 10 to 17;As an adult","When you were 9 or younger;When you were 10 to 17","","","","","When you were 9 or younger;When you were 10 to 17;As an adult","as an adult (18+)","Yes","","","1","22","No","Reese’s Cups","Flavored tootsie rolls","","Always/almost always","Fun creative exciting","Female","White","No","25-34","After Halloween","West",NA
"No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Religious reasons","Never","Superstitious Pagan satanic","Male","White","No","35-44","Between start of school and Halloween","West",NA
"Yes","","","","When you were 9 or younger","","When you were 10 to 17","","","","","When you were 10 to 17","When you were 9 or younger","","","","","","","When you were 10 to 17","","","","","When you were 9 or younger","","","When you were 9 or younger","","When you were 10 to 17","When you were 10 to 17","","","","","","as an older child (10-17)","Yes","","","5-9","13","Yes","Butterfinger, Nerds","Black licorice","","Always/almost always","Preparation spooky-night sugary","Female","White","No","Under 18","Between start of school and Halloween","Southeast",NA
"Yes","When you were 10 to 17","","","","","","When you were 10 to 17","When you were 9 or younger","","","When you were 9 or younger;When you were 10 to 17","","","","","","","","","","","","","When you were 10 to 17","When you were 10 to 17","","","","","When you were 9 or younger;When you were 10 to 17","","","","","","as an older child (10-17)","Yes","","","10","13",NA,"Gum","Black licorice","","Sometimes","Spooky fun interesting","Female","White","No","55+","After Halloween","West","No"
"Yes","","When you were 10 to 17","","One of these ranges, but I forget","When you were 9 or younger","As an adult","When you were 9 or younger","","When you were 9 or younger","","","One of these ranges, but I forget","As an adult","","One of these ranges, but I forget","","","","","","","","","One of these ranges, but I forget","","","As an adult","","","One of these ranges, but I forget","","","","","","as an adult (18+)","Yes","","","2","13",NA,"Candy bars","Candy corn","","Always/almost always","Fun Scary Exciting","Female","White","No","25-34","Between start of school and Halloween","Southeast","Yes"
"Yes","","","","When you were 9 or younger","When you were 10 to 17","","","As an adult","","","","","","","","","","","","","When you were 10 to 17;As an adult","","","","When you were 9 or younger","","","","When you were 10 to 17;As an adult","When you were 9 or younger;When you were 10 to 17;As an adult","","","","When you were 9 or younger","","as an adult (18+)","Yes","","","3","14","No","Reese's peanut butter cups","Jolly ranchers","","Always/almost always","best month ever","Female","White","No","25-34","After Halloween","Southwest",NA
"Yes","When you were 9 or younger","","When you were 9 or younger","When you were 9 or younger","When you were 10 to 17","","When you were 10 to 17","When you were 10 to 17","","","","","","","","","","","","","","","","","","","","","","","","","","","","as a younger child (9 and under);as an older child (10-17);as an adult (18+)","Yes","","","6","12",NA,"Chocolates","Gummys","","Sometimes","Great fantastic awesome","Male","Other","Yes","45-54","After Halloween","West","No"
"Yes","","","When you were 10 to 17","","When you were 10 to 17","As an adult","","","","","","","","","","","","","","","","","","","","","As an adult","","","","","","","","","","Yes","","","8","16",NA,"reeses","almond joy","","Always/almost always","fun costumes decorations","Male","Asian","No","18-24","Between start of school and Halloween","Midwest","No"
"Yes","","","","","When you were 9 or younger","","When you were 9 or younger","","","","","","","","","","","","","","","","When you were 10 to 17","When you were 9 or younger","","","","","When you were 9 or younger","When you were 10 to 17","","","","","When you were 9 or younger;When you were 10 to 17","as a younger child (9 and under);as an older child (10-17);as an adult (18+)","Yes","","","4-5","13","No","Skittles","3 Musketeers","","Rarely","fun exciting spooky","Female","White","No","18-24","After Halloween","Southwest",NA
"Yes","","","","","When you were 9 or younger","As an adult","","","","","","","When you were 9 or younger","","","","","","","","","","","","","","","","","","","","","","","as a younger child (9 and under)","Yes","","","5-7","13","No","","","","Always/almost always","costumes candy fun","Female","White","No","25-34","After Halloween","West",NA
"Yes","","","","","","","","","","","","","","","","","","","","","When you were 9 or younger","","","","","","When you were 9 or younger","","","","","","","","When you were 9 or younger","as a younger child (9 and under);as an older child (10-17)","Yes","","","7-9","16","No","Reese's","Tootsie Rolls","","Never","Spooky Candy Ghost","Male","White","No","25-34","Between start of school and Halloween","Southeast",NA
"Yes","","","","","","","","","","","When you were 9 or younger","","","","","","","","","","","","","When you were 9 or younger","","","","","When you were 9 or younger","When you were 9 or younger","","","","","","as an adult (18+)","Yes","","","4","11",NA,"Candy corn","May janes","","Sometimes","Fun fun fun","Female","White","No","55+","After Halloween","Southeast","No"
"Yes","When you were 10 to 17","","When you were 10 to 17","When you were 9 or younger","When you were 9 or younger;When you were 10 to 17","When you were 9 or younger;When you were 10 to 17","When you were 9 or younger","","","","","When you were 9 or younger","","","","","","","","","","","","When you were 9 or younger","","","","","When you were 10 to 17","","","","","","","as a younger child (9 and under);as an older child (10-17);as an adult (18+)","Yes","","","1","18",NA,"Resse","Candy corn","","Sometimes","Totally awesome fun","Female","White","No","25-34","After Halloween","Midwest",""
"Yes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","When you were 9 or younger","","","","","When you were 9 or younger;When you were 10 to 17","as an older child (10-17);as an adult (18+)","Yes","","","1","13",NA,"Milky way","Good n plenty","","Sometimes","Fun tradition family","Female","White","No","35-44","After Halloween","Midwest","No"
"No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Didn't live in an area that celebrates it","Never","weird different pumpkin","Male","Asian","No","25-34","Between start of school and Halloween","Midwest",NA
"Yes","","","","","When you were 9 or younger;As an adult","","","","","","When you were 9 or younger","","","","","","","","","","When you were 9 or younger","","","","When you were 9 or younger","When you were 9 or younger","","","When you were 10 to 17","","","","","","When you were 9 or younger","as a younger child (9 and under);as an older child (10-17);as an adult (18+)","Yes","","","3-5","10-12","No","kit-kat","any hard candy","","Sometimes","spooky scary skeleton","Male","Asian","No","18-24","After Halloween","Northeast",NA
"Yes","","","","","When you were 9 or younger","","","","","","","","","","","","","","","","","","","","","","","","","","When you were 10 to 17","","","","","","Yes","","","3","11","No","","","","Never","Really weird why","Other","White","No","25-34","After Halloween","Southeast",NA
"Yes","","","","When you were 9 or younger","When you were 10 to 17","When you were 10 to 17","","","","","","","","","","","","","","As an adult","When you were 10 to 17","","","","When you were 9 or younger","","","","","When you were 9 or younger","","","","","When you were 9 or younger;When you were 10 to 17;As an adult","as an older child (10-17)","Yes","","","3","18","No","Reese's peanut butter cups","Mounds","","Rarely","costumes spooky fall","Female","White","No","25-34","After Halloween","Northeast",NA
